# Truth table
# Generated from circuit NextStateLogic
# Exported on Wed May 28 19:02:44 CST 2025

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

CurrentState[4..0] Instruction[3..0] | NextState[4..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      00000              0000        |      00001     
      00000              0001        |      00001     
      00000              0010        |      00001     
      00000              0011        |      00001     
      00000              0100        |      00001     
      00000              0101        |      00001     
      00000              0110        |      00001     
      00000              0111        |      00001     
      00000              1000        |      00001     
      00000              1001        |      00001     
      00000              1010        |      00001     
      00000              1011        |      00001     
      00000              1100        |      00001     
      00000              1101        |      00001     
      00000              1110        |      00001     
      00000              1111        |      00001     
      00001              0000        |      00010     
      00001              0001        |      00010     
      00001              0010        |      00010     
      00001              0011        |      00010     
      00001              0100        |      00010     
      00001              0101        |      00010     
      00001              0110        |      00010     
      00001              0111        |      00010     
      00001              1000        |      00010     
      00001              1001        |      00010     
      00001              1010        |      00010     
      00001              1011        |      00010     
      00001              1100        |      00010     
      00001              1101        |      00010     
      00001              1110        |      00010     
      00001              1111        |      00010     
      00010              0000        |      10000     
      00010              0001        |      10001     
      00010              0010        |      10010     
      00010              0011        |      10011     
      00010              0100        |      10100     
      00010              0101        |      10101     
      00010              0110        |      10110     
      00010              0111        |      10111     
      00010              1000        |      11000     
      00010              1001        |      11001     
      00010              1010        |      11010     
      00010              1011        |      11011     
      00010              1100        |      11100     
      00010              1101        |      11101     
      00010              1110        |      11110     
      00010              1111        |      11111     
      00011              0000        |      -----     
      00011              0001        |      -----     
      00011              0010        |      -----     
      00011              0011        |      -----     
      00011              0100        |      -----     
      00011              0101        |      -----     
      00011              0110        |      -----     
      00011              0111        |      -----     
      00011              1000        |      -----     
      00011              1001        |      -----     
      00011              1010        |      -----     
      00011              1011        |      -----     
      00011              1100        |      -----     
      00011              1101        |      -----     
      00011              1110        |      -----     
      00011              1111        |      -----     
      00100              0000        |      -----     
      00100              0001        |      -----     
      00100              0010        |      -----     
      00100              0011        |      -----     
      00100              0100        |      -----     
